2024-03-24 17:37:06,761 - WARNING - 17:37:06,761460 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,761 - WARNING - 17:37:06,761706 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,762 - WARNING - 17:37:06,762052 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,762 - WARNING - 17:37:06,762339 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,762 - WARNING - 17:37:06,762421 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,763 - WARNING - 17:37:06,762919 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,763 - WARNING - 17:37:06,763181 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,763 - WARNING - 17:37:06,763419 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,763 - WARNING - 17:37:06,763690 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,764 - WARNING - 17:37:06,763917 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,764 - WARNING - 17:37:06,764148 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,764 - WARNING - 17:37:06,764463 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,764 - WARNING - 17:37:06,764690 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,765 - WARNING - 17:37:06,765026 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,765 - WARNING - 17:37:06,765551 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,765 - WARNING - 17:37:06,765717 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,766 - WARNING - 17:37:06,765872 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,766 - WARNING - 17:37:06,766400 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,766 - WARNING - 17:37:06,766628 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,766 - WARNING - 17:37:06,766803 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,767 - WARNING - 17:37:06,767514 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,767 - WARNING - 17:37:06,767664 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,767 - WARNING - 17:37:06,767863 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,768 - WARNING - 17:37:06,768211 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,768 - WARNING - 17:37:06,768291 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,768 - WARNING - 17:37:06,768431 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,768 - WARNING - 17:37:06,768662 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,768 - WARNING - 17:37:06,768837 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,769 - WARNING - 17:37:06,769304 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,769 - WARNING - 17:37:06,769452 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,769 - WARNING - 17:37:06,769589 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,771 - WARNING - 17:37:06,771014 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,771 - WARNING - 17:37:06,771112 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,771 - WARNING - 17:37:06,771368 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,772 - WARNING - 17:37:06,771992 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,772 - WARNING - 17:37:06,772186 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,773 - WARNING - 17:37:06,773557 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,773 - WARNING - 17:37:06,773652 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,774 - WARNING - 17:37:06,774003 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,774 - WARNING - 17:37:06,774157 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,774 - WARNING - 17:37:06,774395 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,775 - WARNING - 17:37:06,775433 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,776 - WARNING - 17:37:06,775860 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,776 - WARNING - 17:37:06,776093 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,776 - WARNING - 17:37:06,776274 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,776 - WARNING - 17:37:06,776356 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,776 - WARNING - 17:37:06,776832 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,776 - WARNING - 17:37:06,776909 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,777 - WARNING - 17:37:06,777310 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,777 - WARNING - 17:37:06,777471 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,777 - WARNING - 17:37:06,777606 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,778 - WARNING - 17:37:06,778546 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,778 - WARNING - 17:37:06,778753 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,779 - WARNING - 17:37:06,778967 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,780 - WARNING - 17:37:06,780262 - Suspicious domain detected (based on probability): ytmodsupport.com - Probability: 0.0
2024-03-24 17:37:06,780 - WARNING - 17:37:06,780409 - Suspicious domain detected (based on probability): ytmodsupport.com - Probability: 0.0
2024-03-24 17:37:06,780 - WARNING - 17:37:06,780549 - Suspicious domain detected (based on probability): ytmodsupport.com - Probability: 0.0
2024-03-24 17:37:06,780 - WARNING - 17:37:06,780688 - Suspicious domain detected (based on probability): ytmodsupport.com - Probability: 0.0
2024-03-24 17:37:06,780 - WARNING - 17:37:06,780908 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,781 - WARNING - 17:37:06,781075 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,781 - WARNING - 17:37:06,781258 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,781 - WARNING - 17:37:06,781756 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,782 - WARNING - 17:37:06,782371 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,782 - WARNING - 17:37:06,782572 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,783 - WARNING - 17:37:06,783432 - Suspicious domain detected (based on probability): dlm.us-east-2.amazonaws.com - Probability: 0.0
2024-03-24 17:37:06,783 - WARNING - 17:37:06,783638 - Suspicious domain detected (based on probability): dlm.us-east-2.amazonaws.com - Probability: 0.0
2024-03-24 17:37:06,785 - WARNING - 17:37:06,785004 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,785 - WARNING - 17:37:06,785169 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,785 - WARNING - 17:37:06,785311 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,786 - WARNING - 17:37:06,786018 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,786 - WARNING - 17:37:06,786606 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,786 - WARNING - 17:37:06,786792 - Suspicious domain detected (based on probability): www.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,787 - WARNING - 17:37:06,786960 - Suspicious domain detected (based on probability): www.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,787 - WARNING - 17:37:06,787223 - Suspicious domain detected (based on probability): encrypted-tbn1.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,787 - WARNING - 17:37:06,787391 - Suspicious domain detected (based on probability): encrypted-tbn1.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,787 - WARNING - 17:37:06,787668 - Suspicious domain detected (based on probability): tdboat.online - Probability: 0.0
2024-03-24 17:37:06,787 - WARNING - 17:37:06,787806 - Suspicious domain detected (based on probability): tdboat.online - Probability: 0.0
2024-03-24 17:37:06,788 - WARNING - 17:37:06,787963 - Suspicious domain detected (based on probability): tdboat.online - Probability: 0.0
2024-03-24 17:37:06,788 - WARNING - 17:37:06,788090 - Suspicious domain detected (based on probability): tdboat.online - Probability: 0.0
2024-03-24 17:37:06,788 - WARNING - 17:37:06,788217 - Suspicious domain detected (based on probability): tdboat.online - Probability: 0.0
2024-03-24 17:37:06,788 - WARNING - 17:37:06,788355 - Suspicious domain detected (based on probability): tdboat.online - Probability: 0.0
2024-03-24 17:37:06,789 - WARNING - 17:37:06,788986 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,789 - WARNING - 17:37:06,789143 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,789 - WARNING - 17:37:06,789501 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,790 - WARNING - 17:37:06,790132 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,790 - WARNING - 17:37:06,790366 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,791 - WARNING - 17:37:06,791155 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,791 - WARNING - 17:37:06,791297 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,791 - WARNING - 17:37:06,791445 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,792 - WARNING - 17:37:06,791952 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,792 - WARNING - 17:37:06,792194 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,793 - WARNING - 17:37:06,792963 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,793 - WARNING - 17:37:06,793136 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,793 - WARNING - 17:37:06,793321 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,794 - WARNING - 17:37:06,794126 - Suspicious domain detected (based on probability): version.bind - Probability: 0.0
2024-03-24 17:37:06,794 - WARNING - 17:37:06,794253 - Suspicious domain detected (based on probability): hostname.bind - Probability: 0.0
2024-03-24 17:37:06,794 - WARNING - 17:37:06,794388 - Suspicious domain detected (based on probability): VERSION.BIND - Probability: 0.0
2024-03-24 17:37:06,794 - WARNING - 17:37:06,794552 - Suspicious domain detected (based on probability): version.bind - Probability: 0.0
2024-03-24 17:37:06,794 - WARNING - 17:37:06,794790 - Suspicious domain detected (based on probability): VERSION.BIND - Probability: 0.0
2024-03-24 17:37:06,795 - WARNING - 17:37:06,794942 - Suspicious domain detected (based on probability): revolverhotel.co.uk - Probability: 0.0
2024-03-24 17:37:06,795 - WARNING - 17:37:06,795119 - Suspicious domain detected (based on probability): reklamco.se - Probability: 0.0
2024-03-24 17:37:06,795 - WARNING - 17:37:06,795255 - Suspicious domain detected (based on probability): VERSION.BIND - Probability: 0.0
2024-03-24 17:37:06,795 - WARNING - 17:37:06,795412 - Suspicious domain detected (based on probability): kristianstad.se - Probability: 0.0
2024-03-24 17:37:06,795 - WARNING - 17:37:06,795545 - Suspicious domain detected (based on probability): version.bind - Probability: 0.0
2024-03-24 17:37:06,795 - WARNING - 17:37:06,795801 - Suspicious domain detected (based on probability): version.bind - Probability: 0.0
2024-03-24 17:37:06,796 - WARNING - 17:37:06,796033 - Suspicious domain detected (based on probability): a0d3xw.1276c6c5.n26475.drakkarns.com - Probability: 0.0
2024-03-24 17:37:06,796 - WARNING - 17:37:06,796240 - Suspicious domain detected (based on probability): aaa.stage.15790461.ns1.1U1gpUP5i8KbTVCTq9PeakbLHhZk.com - Probability: 0.0
2024-03-24 17:37:06,796 - WARNING - 17:37:06,796560 - Suspicious domain detected (based on probability): c1.18-118-198-197.dylfr.ipv4.n64.top - Probability: 0.0
2024-03-24 17:37:06,796 - WARNING - 17:37:06,796888 - Suspicious domain detected (based on probability): VERSION.BIND - Probability: 0.0
2024-03-24 17:37:06,797 - WARNING - 17:37:06,797012 - Suspicious domain detected (based on probability): wpad.resource.campus.njit.edu - Probability: 0.0
2024-03-24 17:37:06,797 - WARNING - 17:37:06,797205 - Suspicious domain detected (based on probability): wpad.resource.campus.njit.edu - Probability: 0.0
2024-03-24 17:37:06,797 - WARNING - 17:37:06,797382 - Suspicious domain detected (based on probability): wpad.resource.campus.njit.edu - Probability: 0.0
2024-03-24 17:37:06,797 - WARNING - 17:37:06,797611 - Suspicious domain detected (based on probability): resource.campus.njit.edu - Probability: 0.0
2024-03-24 17:37:06,797 - WARNING - 17:37:06,797773 - Suspicious domain detected (based on probability): resource.campus.njit.edu - Probability: 0.0
2024-03-24 17:37:06,798 - WARNING - 17:37:06,798116 - Suspicious domain detected (based on probability): resource.campus.njit.edu - Probability: 0.0
2024-03-24 17:37:06,798 - WARNING - 17:37:06,798692 - Suspicious domain detected (based on probability): www.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,798 - WARNING - 17:37:06,798852 - Suspicious domain detected (based on probability): www.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,799 - WARNING - 17:37:06,799070 - Suspicious domain detected (based on probability): fonts.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,799 - WARNING - 17:37:06,799209 - Suspicious domain detected (based on probability): fonts.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,800 - WARNING - 17:37:06,800335 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,800 - WARNING - 17:37:06,800477 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,801 - WARNING - 17:37:06,801298 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,801 - WARNING - 17:37:06,801437 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,802 - WARNING - 17:37:06,802042 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,802 - WARNING - 17:37:06,802179 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,802 - WARNING - 17:37:06,802917 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,803 - WARNING - 17:37:06,803059 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,803 - WARNING - 17:37:06,803326 - Suspicious domain detected (based on probability): wpad.resource.campus.njit.edu - Probability: 0.0
2024-03-24 17:37:06,803 - WARNING - 17:37:06,803525 - Suspicious domain detected (based on probability): wpad.resource.campus.njit.edu - Probability: 0.0
2024-03-24 17:37:06,803 - WARNING - 17:37:06,803808 - Suspicious domain detected (based on probability): wpad.resource.campus.njit.edu - Probability: 0.0
2024-03-24 17:37:06,804 - WARNING - 17:37:06,803983 - Suspicious domain detected (based on probability): wpad.resource.campus.njit.edu - Probability: 0.0
2024-03-24 17:37:06,804 - WARNING - 17:37:06,804159 - Suspicious domain detected (based on probability): wpad.resource.campus.njit.edu - Probability: 0.0
2024-03-24 17:37:06,804 - WARNING - 17:37:06,804334 - Suspicious domain detected (based on probability): wpad.resource.campus.njit.edu - Probability: 0.0
2024-03-24 17:37:06,804 - WARNING - 17:37:06,804761 - Suspicious domain detected (based on probability): du11hjcvx0uqb.cloudfront.net - Probability: 0.0
2024-03-24 17:37:06,805 - WARNING - 17:37:06,804934 - Suspicious domain detected (based on probability): du11hjcvx0uqb.cloudfront.net - Probability: 0.0
2024-03-24 17:37:06,805 - WARNING - 17:37:06,805251 - Suspicious domain detected (based on probability): exapppr1.njit.edu - Probability: 0.0
2024-03-24 17:37:06,805 - WARNING - 17:37:06,805393 - Suspicious domain detected (based on probability): exapppr1.njit.edu - Probability: 0.0
2024-03-24 17:37:06,805 - WARNING - 17:37:06,805597 - Suspicious domain detected (based on probability): exapppr1.njit.edu - Probability: 0.0
2024-03-24 17:37:06,805 - WARNING - 17:37:06,805733 - Suspicious domain detected (based on probability): exapppr1.njit.edu - Probability: 0.0
2024-03-24 17:37:06,805 - WARNING - 17:37:06,805872 - Suspicious domain detected (based on probability): exapppr1.njit.edu - Probability: 0.0
2024-03-24 17:37:06,806 - WARNING - 17:37:06,806122 - Suspicious domain detected (based on probability): exapppr1.njit.edu - Probability: 0.0
2024-03-24 17:37:06,806 - WARNING - 17:37:06,806259 - Suspicious domain detected (based on probability): exapppr1.njit.edu - Probability: 0.0
2024-03-24 17:37:06,806 - WARNING - 17:37:06,806397 - Suspicious domain detected (based on probability): exapppr1.njit.edu - Probability: 0.0
2024-03-24 17:37:06,806 - WARNING - 17:37:06,806561 - Suspicious domain detected (based on probability): exapppr1.njit.edu - Probability: 0.0
2024-03-24 17:37:06,806 - WARNING - 17:37:06,806757 - Suspicious domain detected (based on probability): d1mybsg2h91vjj.cloudfront.net - Probability: 0.0
2024-03-24 17:37:06,807 - WARNING - 17:37:06,806967 - Suspicious domain detected (based on probability): d1mybsg2h91vjj.cloudfront.net - Probability: 0.0
2024-03-24 17:37:06,807 - WARNING - 17:37:06,807200 - Suspicious domain detected (based on probability): exapppr1.njit.edu - Probability: 0.0
2024-03-24 17:37:06,807 - WARNING - 17:37:06,807336 - Suspicious domain detected (based on probability): exapppr1.njit.edu - Probability: 0.0
