Top Level Domain
.com
.org
.net
.edu
.gov
.info
.biz
.be
.ca
.dk
.fr
.de
.gr
.is
.it
.lv
.lt
.lu
.nl
.no
.pl
.pt
.ro
.es
.tr
.uk
.us
.au
.jp
.kr
.nz
.ph
.sg
.il
.se
.fi
.at
.ch
.ie
.za
